STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0648.HK,WAH YAN HEALTH,中國華仁醫療,2500
0650.HK,IDG ENERGY,ＩＤＧ能源,2000
0651.HK,CHI OCEAN IND,中海重工,5000
0653.HK,BONJOUR HOLD,卓悅控股,2000
0655.HK,HK CHINESE LTD,香港華人有限公司,2000
0656.HK,FOSUN INTL,復星國際,500
0657.HK,G-VISION INT'L,環科國際,2000
0658.HK,C TRANSMISSION,中國高速傳動,1000
0659.HK,NWS HOLDINGS,新創建集團,1000
0660.HK,WAI CHUN MINING,偉俊礦業集團,10000
0661.HK,CDAYENONFER,中國大冶有色金屬,2000
0662.HK,ASIA FINANCIAL,亞洲金融,2000
0663.HK,KING STONE ENGY,金山能源,1000
0665.HK,HAITONG INT'L,海通國際,1000
0668.HK,DOYEN INTL HOLD,東銀國際控股,2000
0669.HK,TECHTRONIC IND,創科實業,500
0670.HK,CHINA EAST AIR,中國東方航空股份,2000
0672.HK,ZHONGAN REALEST,眾安房產,1000
0673.HK,CHINA HEALTH,中國衛生集團,3000
0674.HK,CHINA TANGSHANG,中國唐商,4000
0675.HK,K & P INT'L,堅寶國際,2000
0676.HK,PEGASUS INT'L,創信國際,2000
0677.HK,GOLDEN RES DEV,金源米業,2000
0678.HK,GENTING HK,雲頂香港,1000
0679.HK,ASIA TELE-NET,亞洲聯網科技,10000
0680.HK,NAN HAI CORP,南海控股,50000
0681.HK,CHI PEOPLE HOLD,中民控股,2000
0682.HK,CHAODA MODERN,超大現代,2000
0683.HK,KERRY PPT,嘉里建設,500
0684.HK,ALLAN INT'L,亞倫國際,2000
0685.HK,MEDIA CHINESE,世界華文媒體,1000
0686.HK,PANDA GREEN,熊貓綠能,2000
0687.HK,HKICIM GROUP,香港國際建投,2000
0688.HK,CHINA OVERSEAS,中國海外發展,2000
0689.HK,EPI (HOLDINGS),長盈集團（控股）,15000
0690.HK,UNI-BIO GROUP,聯康生物科技集團,20000
0691.HK,SHANSHUI CEMENT,山水水泥,1000
0692.HK,CHINA HOUSEHOLD,中國家居,5000
0693.HK,TAN CHONG INT'L,陳唱國際,3000
0694.HK,BEIJING AIRPORT,北京首都機場股份,2000
0695.HK,DONGWU CEMENT,東吳水泥,2000
0696.HK,TRAVELSKY TECH,中國民航信息網絡,1000
0697.HK,SHOUGANG INT'L,SHOUGANG INT'L,2000
0698.HK,TONGDA GROUP,通達集團,10000
0699.HK,CAR INC,神州租車,1000
0700.HK,TENCENT,騰訊控股,100
0701.HK,CNT GROUP,CNT GROUP,2000
0702.HK,SINO OIL & GAS,中國油氣控股,5000
0703.HK,FUTURE BRIGHT,FUTURE BRIGHT,6000
0704.HK,HUSCOKE RES,和嘉資源,10000
0705.HK,DINGHE MINING,鼎和礦業,12000
0706.HK,BEAUTI C HOLD,美麗中國控股,10000
0707.HK,CO-PROSPERITY,協盛協豐,2000
0708.HK,EVERG HEALTH,恒大健康,5000
0709.HK,GIORDANO INT'L,佐丹奴國際,2000
0710.HK,BOE VARITRONIX,京東方精電,1000
0711.HK,ASIA ALLIED INF,亞洲聯合基建控股,2000
0712.HK,COMTEC SOLAR,卡姆丹克太陽能,2000
0713.HK,WORLD HOUSEWARE,世界（集團）,2000
0715.HK,CHINA OCEANWIDE,中泛控股,2000
0716.HK,SINGAMAS CONT,勝獅貨櫃,2000
0717.HK,EMPEROR CAPITAL,英皇證券,6000
0718.HK,TAI UNITED HOLD,太和控股,5000
0719.HK,SHANDONG XINHUA,山東新華製藥股份,2000
0720.HK,AUTO ITALIA,意達利控股,25000
0722.HK,UMP,聯合醫務,2000
0723.HK,SUSTAIN FOREST,永保林業,60000
0724.HK,RUIXIN INT'L,瑞鑫國際集團,10000
0725.HK,PERENNIAL INT'L,恆都集團,2000
0726.HK,CM DRAWIN TECH,中民築友科技,20000
0727.HK,CROWNICORP,皇冠環球集團,2000
0728.HK,CHINA TELECOM,中國電信,2000
0729.HK,FDG EVEHICLES,五龍電動車,5000
0730.HK,SHOUGANG GRAND,SHOUGANG GRAND,1000
0731.HK,SAMSON PAPER,森信紙業集團,2000
0732.HK,TRULY INT'L,信利國際,2000
0733.HK,HOPEFLUENT,合富輝煌,2000
0735.HK,CP CLEAN ENERGY,中國電力清潔能源,500
0736.HK,CHINA PPT INV,中國置業投資,3000
0737.HK,HOPEWELL INFR,合和公路基建,500
0738.HK,LE SAUNDA,萊爾斯丹,2000
0743.HK,ASIA CEMENT CH,亞洲水泥（中國）,500
0745.HK,CN CULTURE GP,中國國家文化產業,10000
0746.HK,L & M CHEMICAL,理文化工,2000
0747.HK,SHENYANG PUBLIC,瀋陽公用發展股份,2000
0750.HK,SINGYES SOLAR,興業太陽能,1000
0751.HK,SKYWORTHDIGITAL,創維數碼,2000
0752.HK,PICO FAR EAST,PICO FAR EAST,2000
0753.HK,AIR CHINA,中國國航,2000
0754.HK,HOPSON DEV HOLD,合生創展集團,2000
0755.HK,SHANGHAI ZENDAI,上海証大,5000
0756.HK,TIANYI SUMMI,天溢森美,4000
0757.HK,SOLARGIGA,陽光能源,1000
0758.HK,JUNEFIELD GROUP,JUNEFIELD GROUP,2000
0759.HK,CEC INT'L HOLD,CEC INT'L HOLD,2000
0760.HK,TALENT PPT GP,新天地產集團,15000
0761.HK,BEL GLOBAL RES,百營環球資源,2000
0762.HK,CHINA UNICOM,中國聯通,2000
0763.HK,ZTE,中興通訊,200
0764.HK,ETERNITY INV,永恒策略,10000
0765.HK,PERFECTECH INTL,PERFECTECH INTL,2000
0766.HK,SINO PROSPER GP,中盈集團控股,5000
0767.HK,PACIFIC PLYWOOD,PACIFIC PLYWOOD,40000
0769.HK,CHINA RAREEARTH,中國稀土,2000
0771.HK,AUTOMATED SYS,自動系統,2000
0775.HK,CKLIFE SCIENCES,長江生命科技,2000
0776.HK,IMPERIUM GP,帝國集團環球控股,1000
0777.HK,NETDRAGON,網龍,500
0787.HK,GLOBAL BRANDS,利標品牌,2000
0789.HK,PRIMEVIEW HLDG,領視控股,20000
0794.HK,COME SURE GROUP,錦勝集團（控股）,2000
0798.HK,CEOVU,中電光谷,4000
0799.HK,IGG,IGG,1000
0800.HK,A8 NEW MEDIA,Ａ８新媒體,2000
0801.HK,GOLDEN MEDITECH,金衛醫療,4000
0802.HK,CHINA E-WALLET,中國錢包,10000
0803.HK,PROSPERITY INTL,昌興國際,20000
0804.HK,PINESTONE,鼎石資本,5000
0805.HK,GLENCORE-S,GLENCORE-S,100
0806.HK,VALUE PARTNERS,惠理集團,1000
0809.HK,GLOBAL BIO-CHEM,大成生化科技,2000
0811.HK,XINHUA WINSHARE,新華文軒,1000
0812.HK,SWSI,西證國際證券,2000
0813.HK,SHIMAO PROPERTY,世茂房地產,500
0814.HK,JINGKELONG,北京京客隆,1000
0815.HK,CHI SILVER GP,中國白銀集團,2000
0816.HK,HUADIAN FUXIN,華電福新,2000
0817.HK,CHINA JINMAO,中國金茂,2000
0818.HK,HI SUN TECH,高陽科技,3000
0819.HK,TIANNENG POWER,天能動力,2000
0821.HK,VC HOLDINGS,匯盈控股,4000
0822.HK,KA SHUI INT'L,嘉瑞國際,2000
0825.HK,NWDS CHINA,新世界百貨中國,1000
0826.HK,TIANGONG INT'L,天工國際,2000
0827.HK,KO YO GROUP,玖源集團,4000
0828.HK,DYNASTY WINES,王朝酒業,2000
0829.HK,SHENGUAN HLDGS,神冠控股,2000
0830.HK,FAR EAST GLOBAL,遠東環球,2000
0831.HK,CR ASIA,利亞零售,2000
0832.HK,CENTRAL CHINA,建業地產,1000
0833.HK,ALLTRONICS,華訊,1000
0834.HK,KANGDA FOOD,康大食品,4000
0835.HK,ASIA COAL,亞洲煤業,10000
0836.HK,CHINA RES POWER,華潤電力,2000
0837.HK,CARPENTER TAN,譚木匠,2000
0838.HK,EVA HOLDINGS,億和控股,2000
0840.HK,TIANYE WATER,天業節水,2000
0841.HK,CASSAVA RES,木薯資源,2000
0842.HK,LEOCH INT'L,理士國際,1000
0844.HK,GREATIME INTL,廣泰國際控股,4000
0845.HK,GLORIOUS PPT H,恒盛地產,1000
0846.HK,MINGFA GROUP,明發集團,1000
0847.HK,KAZ MINERALS-S,哈薩克礦業—Ｓ,30
0848.HK,MAOYE INT'L,茂業國際,1000
0850.HK,TOURONG CHANGFU,投融長富,4000
0851.HK,SHENG YUAN HLDG,盛源控股,10000
0852.HK,STRONG PETRO,海峽石油化工,2000
0853.HK,MICROPORT,微創醫療,1000
0854.HK,WILLAS-ARRAY,威雅利,1000
0855.HK,CHINA WATER,中國水務,2000
0856.HK,VSTECS,偉仕佳杰,2000
0857.HK,PETROCHINA,中國石油股份,2000
0858.HK,EXTRAWELL PHAR,精優藥業,10000
0859.HK,HENRY GROUP,鎮科集團,2000
0860.HK,O LUXE HOLD,奧立仕控股,12000
0861.HK,DC HOLDINGS,神州控股,1000
0862.HK,VISION VALUES,遠見控股,20000
0863.HK,BRANDINGCHINA,品牌中國,2000
0864.HK,WING LEE PPT,永利地產發展,4000
0865.HK,JIANDE INT'L,建德國際控股,4000
0866.HK,CHINA QINFA,中國秦發,2000
0867.HK,CMS,康哲藥業,1000
0868.HK,XINYI GLASS,信義玻璃,2000
0869.HK,PLAYMATES TOYS,彩星玩具,4000
0871.HK,CH DREDG ENV,中國疏浚環保,1000
0872.HK,TUS INTL,啟迪國際,2000
0873.HK,C TAIFENG BED,中國泰豐床品,2000
0874.HK,BAIYUNSHAN PH,白雲山,2000
0875.HK,CHINA FIN INV,中國金控,20000
0876.HK,MEGA MEDICAL,美加醫學,10000
0877.HK,O-NET TECH GP,昂納科技集團,1000
0878.HK,SOUNDWILL HOLD,金朝陽集團,500
0880.HK,SJM HOLDINGS,澳博控股,1000
0881.HK,ZHONGSHENG HLDG,中升控股,500
0882.HK,TIANJIN DEV,天津發展,2000
0883.HK,CNOOC,中國海洋石油,1000
0884.HK,CIFI HOLD GP,旭輝控股集團,2000
0885.HK,RENTIAN TECH,仁天科技控股,10000
0886.HK,SILVER BASE,銀基集團,3000
0887.HK,EMPEROR WATCH&J,英皇鐘錶珠寶,10000
0888.HK,ROADSHOW,路訊通,2000
0889.HK,DATRONIX HOLD,連達科技控股,2000
0891.HK,TRINITY,利邦,2000
0893.HK,CHINAVTM MINING,中國鐵鈦,1000
0894.HK,MAN YUE TECH,萬裕科技,2000
0895.HK,DONGJIANG ENV,東江環保,200
0896.HK,HANISON,興勝創建,2000
0897.HK,WAI YUEN TONG,位元堂,5000
0898.HK,MULTIFIELD INTL,萬事昌國際,2000
0899.HK,ASIA RESOURCES,亞洲資源,10000
0900.HK,AEON CREDIT,AEON CREDIT,2000
0902.HK,HUANENG POWER,華能國際電力股份,2000
0903.HK,TPV TECHNOLOGY,冠捷科技,2000
0904.HK,CHINA GREEN,中綠,4000
0906.HK,COFCO PACKAGING,中糧包裝,1000
0907.HK,ELEGANCEOPTICAL,高雅光學,2000
0908.HK,ZHUHAI H INV,珠海控股投資,2000
0909.HK,ZHONGDA INT'L,中大國際,2000
0910.HK,CHINA SANDI,中國三迪,12000
0911.HK,QIANHAI HEALTH,前海健康,10000
0912.HK,SUGA INT'L,信佳國際,2000
0914.HK,CONCH CEMENT,海螺水泥,500
0915.HK,DAOHE GLOBAL,道和環球,1000
0916.HK,CHINA LONGYUAN,龍源電力,1000
0918.HK,STATE EN ASSETS,國能國際資產,2000
0919.HK,MODERN BEAUTY,現代美容,4000
0921.HK,HISENSE KELON,海信科龍,1000
0922.HK,ANXIANYUAN CH,安賢園中國,20000
0923.HK,IWS,綜合環保集團,2000
0925.HK,BJ PROPERTIES,北京建設,2000
0926.HK,BESUNYEN,碧生源,1000
0927.HK,FUJIKON IND,富士高實業,2000
0928.HK,LIFE HEALTHCARE,蓮和醫療,20000
0929.HK,IPE GROUP,國際精密,5000
0931.HK,CHINA LNG,中國天然氣,2000
0932.HK,RM GROUP,御藥堂,4000
0933.HK,BRIGHTOIL,光匯石油,1000
0934.HK,SINOPEC KANTONS,中石化冠德,2000
0935.HK,DRAGON CROWN,龍翔集團,2000
0936.HK,EAGLE LEGEND,鵬程亞洲,10000
0938.HK,MAN SANG INT'L,民生國際,2000
0939.HK,CCB,建設銀行,1000
0940.HK,C ANIMAL HEALTH,中國動物保健品,1000
0941.HK,CHINA MOBILE,中國移動,500
0943.HK,EFORCE HOLDINGS,意科控股,8000
0945.HK,MANULIFE-S,宏利金融—Ｓ,100
0947.HK,MOBI DEV,摩比發展,1000
0948.HK,Z-OBEE,融達控股,2000
0950.HK,LEE'S PHARM,李氏大藥廠,500
0951.HK,CHAOWEI POWER,超威動力,1000
0952.HK,OCEANWIDE FIN,中國泛海金融,10000
0953.HK,SHAW BROTHERS,邵氏兄弟控股,2000
0954.HK,CHANGMAO BIO,常茂生物,4000
0956.HK,CHINA SUNTIEN,新天綠色能源,1000
0958.HK,HN RENEWABLES,華能新能源,2000
0959.HK,AMAX INT HOLD,奧瑪仕國際,2000
0960.HK,LONGFOR PPT,龍湖地產,500
0963.HK,BLOOMAGE BIOTEC,華熙生物科技,2500
0966.HK,CHINA TAIPING,中國太平,200
0967.HK,SOUND GLOBAL,桑德國際,1000
0968.HK,XINYI SOLAR,信義光能,2000
0969.HK,HUA LIEN INT'L,華聯國際,2000
0970.HK,SPARKLE ROLL,耀萊集團,8000
0973.HK,L'OCCITANE,L'OCCITANE,250
0974.HK,SKL,中國順客隆,1000
0975.HK,MONGOL MINING,MONGOL MINING,500
0976.HK,CHIHO ENV,齊合環保,2000
0978.HK,CHI MER LAND,招商局置地,2000
0979.HK,GREEN ENERGY GP,綠色能源科技集團,2000
