STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0313,RICHLY FIELD,裕田中國,"50,000"
0315,SMARTONE TELE,數碼通電訊,500
0316,OOIL,東方海外國際,500
0317,COMEC,中船防務,"2,000"
0318,VONGROUP,黃河實業,"5,000"
0320,COMPUTIME,金寶通,"2,000"
0321,TEXWINCA HOLD,德永佳集團,"2,000"
0322,TINGYI,康師傅控股,"2,000"
0323,MAANSHAN IRON,馬鞍山鋼鐵股份,"2,000"
0326,CHINA STAR ENT,中國星集團,"10,000"
0327,PAX GLOBAL,百富環球,"1,000"
0328,ALCO HOLDINGS,ALCO HOLDINGS,"2,000"
0329,OCI INTL,東建國際,"4,000"
0330,ESPRIT HOLDINGS,思捷環球,100
0331,FSE ENGINEERING,豐盛機電,"1,000"
0332,YUANHENG GAS,元亨燃氣,"4,000"
0333,TOP FORM INT'L,黛麗斯國際,"2,000"
0334,CH DISPLAY OPT,華顯光電,"8,000"
0335,UPBEST GROUP,美建集團,"2,000"
0336,HUABAO INTL,華寶國際,"1,000"
0337,GREENLAND HK,綠地香港,"1,000"
0338,SHANGHAI PECHEM,上海石油化工股份,"2,000"
0340,CHINA MINING,中國礦業,"2,000"
0341,CAFE DE CORAL H,大家樂集團,"2,000"
0342,NEWOCEAN ENERGY,新海能源,"2,000"
0343,CULTURECOM HOLD,文化傳信,"5,000"
0345,VITASOY INT'L,VITASOY INT'L,"2,000"
0346,YANCHANG PETRO,延長石油國際,"10,000"
0347,ANGANG STEEL,鞍鋼股份,"2,000"
0348,CHINAHEALTHWISE,中國智能健康,"2,000"
0351,ASIA ENERGY LOG,亞洲能源物流,"10,000"
0352,FORTUNE SUN,富陽,"2,000"
0353,ENERGY INTINV,能源國際投資,"20,000"
0354,CHINASOFT INT'L,中國軟件國際,"2,000"
0355,CENTURY C INT'L,世紀城市國際,"4,000"
0357,HNA INFRA,航基股份,"1,000"
0358,JIANGXI COPPER,江西銅業股份,"1,000"
0359,HAISHENG JUICE,海升果汁,"4,000"
0360,NEW FOCUS AUTO,新焦點,"4,000"
0361,SINO GOLF HOLD,順龍控股,"20,000"
0362,C ZENITH CHEM,中國天化工,"10,000"
0363,SHANGHAI IND H,上海實業控股,"1,000"
0364,PING SHAN TEA,坪山茶業,"4,000"
0365,UNIS HOLDINGS,紫光控股,"2,000"
0366,LUKS GROUP (VN),陸氏集團（越南）,"2,000"
0367,CHUANG'S INT'L,莊士機構國際,"4,000"
0368,SINOTRANS SHIP,中外運航運,500
0369,WING TAI PPT,永泰地產,"2,000"
0370,CHINA BEST,國華,"20,000"
0371,BJ ENT WATER,北控水務集團,"2,000"
0372,PT INTL DEV,保德國際發展,"2,000"
0373,ALLIED GROUP,聯合集團,"2,000"
0374,FOUR SEAS MER,四洲集團,"2,000"
0375,YGM TRADING,YGM TRADING,"1,000"
0376,YUNFENG FIN,雲鋒金融,"2,000"
0377,HUAJUN HOLD,華君控股,"4,000"
0378,FDG KINETIC,五龍動力,"2,000"
0379,EG LEASING,恒嘉融資租賃,"10,000"
0380,SOFTPOWER INT,冠力國際,"4,000"
0381,KIU HUNG INT'L,僑雄國際,"10,000"
0382,WELLING HOLDING,威靈控股,"2,000"
0383,CHINA MED&HCARE,中國醫療網絡,"10,000"
0384,CHINA GAS HOLD,中國燃氣,"2,000"
0385,CHINNEY ALLI,建聯集團,"2,000"
0386,SINOPEC CORP,中國石油化工股份,"2,000"
0387,LEEPORT(HOLD),力豐（集團）,"4,000"
0388,HKEX,香港交易所,100
0389,TONTINE WINES,通天酒業,"2,000"
0390,CHINA RAILWAY,中國中鐵,"1,000"
0391,MEI AH ENTER,美亞娛樂資訊,"20,000"
0392,BEIJING ENT,北京控股,500
0393,GLORIOUS SUN,旭日企業,"4,000"
0395,SMARTAC GP CH,中國智能集團,"8,000"
0396,HING LEE (HK),興利（香港）控股,"2,000"
0397,JUN YANG FIN,君陽金融,"10,000"
0398,ORIENTAL WATCH,東方表行集團,"2,000"
0399,INNOVATIVE PHAR,領航醫藥生物科技,"5,000"
0400,COGOBUY,科通芯城,"1,000"
0401,WANJIA GROUP,萬嘉集團,"5,000"
0402,PEACEMAP HOLD,天下圖控股,"20,000"
0403,STARLITE HOLD,星光集團,"2,000"
0404,HSIN CHONG GP,新昌集團控股,"2,000"
0406,YAU LEE HOLD,有利集團,"2,000"
0408,YIP'S CHEMICAL,葉氏化工集團,"2,000"
0410,SOHO CHINA,ＳＯＨＯ中國,500
0411,LAM SOON (HK),南順（香港）,"1,000"
0412,CHINA SDHS FIN,中國山東高速金融,"6,000"
0413,SC HOLDINGS,南華集團控股,"8,000"
0416,BANKOFJINZHOU,錦州銀行,"1,000"
0417,TSE SUI LUEN,謝瑞麟,"2,000"
0418,FOUNDER HOLD,方正控股,"2,000"
0419,HUAYI TENCENT,華誼騰訊娛樂,"10,000"
0420,FOUNTAIN SET,福田實業,"2,000"
0422,VMEP HOLDINGS,越南製造加工出口,"1,000"
0423,HKET HOLDINGS,經濟日報集團,"2,000"
0425,MINTH GROUP,敏實集團,"2,000"
0426,ONE MEDIA GROUP,萬華媒體,"2,000"
0430,ORIENTAL EXPL,東方網庫,"2,000"
0431,G CHINA FIN,大中華金融,"4,000"
0432,PCPD,盈大地產,"1,000"
0433,NORTH MINING,北方礦業,"10,000"
0434,BOYAA,博雅互動,"1,000"
0436,NU ENVIRO,新宇環保,"20,000"
0438,IRICO NEWENERGY,彩虹新能源,"2,000"
0439,KUANGCHI,光啟科學,"1,000"
0440,DAH SING,大新金融,400
0442,KTL INT'L,KTL INT'L,"1,000"
0444,SINCEREWATCH HK,SINCEREWATCH HK,"10,000"
